,wave,iid,pid,gender,field_cd,undergra,age,age_o,race,race_o,imprace,imprelig,from,zipcode,goal,income,career_c,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,match,dec_o
12,1,2,13.0,0,1.0,,24.0,22.0,2.0,4.0,2.0,5.0,Alabama,"35,223",1.0,"65,929.00",,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1
13,1,2,14.0,0,1.0,,24.0,23.0,2.0,2.0,2.0,5.0,Alabama,"35,223",1.0,"65,929.00",,30.0,5.0,15.0,40.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,1,1
14,1,2,15.0,0,1.0,,24.0,24.0,2.0,3.0,2.0,5.0,Alabama,"35,223",1.0,"65,929.00",,30.0,10.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,7.0,8.0,0,1
15,1,2,16.0,0,1.0,,24.0,25.0,2.0,2.0,2.0,5.0,Alabama,"35,223",1.0,"65,929.00",,50.0,0.0,30.0,10.0,0.0,10.0,7.0,8.0,7.0,5.0,7.0,7.0,0,1
16,1,2,17.0,0,1.0,,24.0,30.0,2.0,2.0,2.0,5.0,Alabama,"35,223",1.0,"65,929.00",,35.0,15.0,25.0,10.0,5.0,10.0,5.0,3.0,4.0,3.0,5.0,3.0,0,0
17,1,2,18.0,0,1.0,,24.0,27.0,2.0,2.0,2.0,5.0,Alabama,"35,223",1.0,"65,929.00",,33.33,11.11,11.11,11.11,11.11,22.22,7.0,7.0,7.0,7.0,7.0,5.0,0,1
18,1,2,19.0,0,1.0,,24.0,28.0,2.0,2.0,2.0,5.0,Alabama,"35,223",1.0,"65,929.00",,50.0,0.0,25.0,10.0,0.0,15.0,8.0,6.0,9.0,9.0,8.0,7.0,1,1
19,1,2,20.0,0,1.0,,24.0,24.0,2.0,2.0,2.0,5.0,Alabama,"35,223",1.0,"65,929.00",,100.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,7.0,7.0,9.0,7.0,0,0
20,1,3,11.0,0,2.0,,25.0,27.0,2.0,2.0,8.0,4.0,Connecticut,"6,268",6.0,,,35.0,20.0,20.0,20.0,0.0,5.0,7.0,8.0,6.0,5.0,8.0,4.0,0,0
21,1,3,12.0,0,2.0,,25.0,22.0,2.0,2.0,8.0,4.0,Connecticut,"6,268",6.0,,,60.0,0.0,0.0,40.0,0.0,0.0,6.0,7.0,10.0,6.0,6.0,5.0,0,0
22,1,3,13.0,0,2.0,,25.0,22.0,2.0,4.0,8.0,4.0,Connecticut,"6,268",6.0,,,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1
23,1,3,14.0,0,2.0,,25.0,23.0,2.0,2.0,8.0,4.0,Connecticut,"6,268",6.0,,,30.0,5.0,15.0,40.0,5.0,5.0,7.0,9.0,8.0,8.0,8.0,8.0,0,1
24,1,3,15.0,0,2.0,,25.0,24.0,2.0,3.0,8.0,4.0,Connecticut,"6,268",6.0,,,30.0,10.0,20.0,10.0,10.0,20.0,6.0,10.0,8.0,6.0,,,0,1
25,1,3,16.0,0,2.0,,25.0,25.0,2.0,2.0,8.0,4.0,Connecticut,"6,268",6.0,,,50.0,0.0,30.0,10.0,0.0,10.0,7.0,6.0,6.0,6.0,6.0,6.0,0,1
26,1,3,17.0,0,2.0,,25.0,30.0,2.0,2.0,8.0,4.0,Connecticut,"6,268",6.0,,,35.0,15.0,25.0,10.0,5.0,10.0,6.0,3.0,5.0,4.0,5.0,4.0,0,0
27,1,3,18.0,0,2.0,,25.0,27.0,2.0,2.0,8.0,4.0,Connecticut,"6,268",6.0,,,33.33,11.11,11.11,11.11,11.11,22.22,4.0,5.0,6.0,4.0,6.0,4.0,0,0
28,1,3,19.0,0,2.0,,25.0,28.0,2.0,2.0,8.0,4.0,Connecticut,"6,268",6.0,,,50.0,0.0,25.0,10.0,0.0,15.0,7.0,7.0,6.0,8.0,7.0,7.0,0,1
29,1,3,20.0,0,2.0,,25.0,24.0,2.0,2.0,8.0,4.0,Connecticut,"6,268",6.0,,,100.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,8.0,5.0,8.0,6.0,0,0
30,1,4,11.0,0,1.0,,23.0,27.0,2.0,2.0,1.0,1.0,Texas,"77,096",1.0,"37,754.00",1.0,35.0,20.0,20.0,20.0,0.0,5.0,6.0,7.0,8.0,7.0,7.0,5.0,0,0
31,1,4,12.0,0,1.0,,23.0,22.0,2.0,2.0,1.0,1.0,Texas,"77,096",1.0,"37,754.00",1.0,60.0,0.0,0.0,40.0,0.0,0.0,6.0,5.0,10.0,6.0,6.0,5.0,0,0
32,1,4,13.0,0,1.0,,23.0,22.0,2.0,4.0,1.0,1.0,Texas,"77,096",1.0,"37,754.00",1.0,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1
33,1,4,14.0,0,1.0,,23.0,23.0,2.0,2.0,1.0,1.0,Texas,"77,096",1.0,"37,754.00",1.0,30.0,5.0,15.0,40.0,5.0,5.0,7.0,7.0,7.0,9.0,9.0,9.0,1,1
34,1,4,15.0,0,1.0,,23.0,24.0,2.0,3.0,1.0,1.0,Texas,"77,096",1.0,"37,754.00",1.0,30.0,10.0,20.0,10.0,10.0,20.0,8.0,8.0,9.0,8.0,8.0,9.0,0,1
35,1,4,16.0,0,1.0,,23.0,25.0,2.0,2.0,1.0,1.0,Texas,"77,096",1.0,"37,754.00",1.0,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,7.0,7.0,8.0,7.0,0,1
36,1,4,17.0,0,1.0,,23.0,30.0,2.0,2.0,1.0,1.0,Texas,"77,096",1.0,"37,754.00",1.0,35.0,15.0,25.0,10.0,5.0,10.0,7.0,6.0,3.0,5.0,6.0,5.0,0,1
37,1,4,18.0,0,1.0,,23.0,27.0,2.0,2.0,1.0,1.0,Texas,"77,096",1.0,"37,754.00",1.0,33.33,11.11,11.11,11.11,11.11,22.22,6.0,7.0,8.0,6.0,6.0,5.0,0,0
38,1,4,19.0,0,1.0,,23.0,28.0,2.0,2.0,1.0,1.0,Texas,"77,096",1.0,"37,754.00",1.0,50.0,0.0,25.0,10.0,0.0,15.0,7.0,7.0,7.0,10.0,9.0,10.0,1,1
39,1,4,20.0,0,1.0,,23.0,24.0,2.0,2.0,1.0,1.0,Texas,"77,096",1.0,"37,754.00",1.0,100.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,8.0,7.0,8.0,7.0,0,0
40,1,5,11.0,0,1.0,,21.0,27.0,2.0,2.0,8.0,1.0,Bowdoin College,"94,022",2.0,"86,340.00",1.0,35.0,20.0,20.0,20.0,0.0,5.0,6.0,8.0,8.0,8.0,7.0,6.0,0,0
41,1,5,12.0,0,1.0,,21.0,22.0,2.0,2.0,8.0,1.0,Bowdoin College,"94,022",2.0,"86,340.00",1.0,60.0,0.0,0.0,40.0,0.0,0.0,6.0,7.0,10.0,7.0,6.0,5.0,0,0
42,1,5,13.0,0,1.0,,21.0,22.0,2.0,4.0,8.0,1.0,Bowdoin College,"94,022",2.0,"86,340.00",1.0,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1
43,1,5,14.0,0,1.0,,21.0,23.0,2.0,2.0,8.0,1.0,Bowdoin College,"94,022",2.0,"86,340.00",1.0,30.0,5.0,15.0,40.0,5.0,5.0,6.0,8.0,6.0,8.0,10.0,10.0,1,1
44,1,5,15.0,0,1.0,,21.0,24.0,2.0,3.0,8.0,1.0,Bowdoin College,"94,022",2.0,"86,340.00",1.0,30.0,10.0,20.0,10.0,10.0,20.0,5.0,9.0,9.0,7.0,9.0,5.0,0,0
45,1,5,16.0,0,1.0,,21.0,25.0,2.0,2.0,8.0,1.0,Bowdoin College,"94,022",2.0,"86,340.00",1.0,50.0,0.0,30.0,10.0,0.0,10.0,5.0,8.0,7.0,7.0,7.0,7.0,0,0
46,1,5,17.0,0,1.0,,21.0,30.0,2.0,2.0,8.0,1.0,Bowdoin College,"94,022",2.0,"86,340.00",1.0,35.0,15.0,25.0,10.0,5.0,10.0,2.0,3.0,4.0,4.0,5.0,3.0,0,0
47,1,5,18.0,0,1.0,,21.0,27.0,2.0,2.0,8.0,1.0,Bowdoin College,"94,022",2.0,"86,340.00",1.0,33.33,11.11,11.11,11.11,11.11,22.22,5.0,5.0,6.0,5.0,5.0,5.0,0,0
48,1,5,19.0,0,1.0,,21.0,28.0,2.0,2.0,8.0,1.0,Bowdoin College,"94,022",2.0,"86,340.00",1.0,50.0,0.0,25.0,10.0,0.0,15.0,5.0,9.0,9.0,9.0,9.0,6.0,1,1
49,1,5,20.0,0,1.0,,21.0,24.0,2.0,2.0,8.0,1.0,Bowdoin College,"94,022",2.0,"86,340.00",1.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.0,10.0,5.0,0,0
50,1,6,11.0,0,1.0,,23.0,27.0,4.0,2.0,1.0,1.0,MD,"20,878",1.0,"60,304.00",1.0,35.0,20.0,20.0,20.0,0.0,5.0,7.0,9.0,8.0,9.0,8.0,4.0,0,0
51,1,6,12.0,0,1.0,,23.0,22.0,4.0,2.0,1.0,1.0,MD,"20,878",1.0,"60,304.00",1.0,60.0,0.0,0.0,40.0,0.0,0.0,6.0,8.0,10.0,6.0,7.0,6.0,0,0
52,1,6,13.0,0,1.0,,23.0,22.0,4.0,4.0,1.0,1.0,MD,"20,878",1.0,"60,304.00",1.0,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1
53,1,6,14.0,0,1.0,,23.0,23.0,4.0,2.0,1.0,1.0,MD,"20,878",1.0,"60,304.00",1.0,30.0,5.0,15.0,40.0,5.0,5.0,6.0,8.0,8.0,7.0,9.0,8.0,1,1
54,1,6,15.0,0,1.0,,23.0,24.0,4.0,3.0,1.0,1.0,MD,"20,878",1.0,"60,304.00",1.0,30.0,10.0,20.0,10.0,10.0,20.0,9.0,7.0,9.0,7.0,9.0,6.0,0,1
55,1,6,16.0,0,1.0,,23.0,25.0,4.0,2.0,1.0,1.0,MD,"20,878",1.0,"60,304.00",1.0,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,8.0,8.0,8.0,7.0,0,1
56,1,6,17.0,0,1.0,,23.0,30.0,4.0,2.0,1.0,1.0,MD,"20,878",1.0,"60,304.00",1.0,35.0,15.0,25.0,10.0,5.0,10.0,5.0,6.0,8.0,4.0,5.0,4.0,0,0
57,1,6,18.0,0,1.0,,23.0,27.0,4.0,2.0,1.0,1.0,MD,"20,878",1.0,"60,304.00",1.0,33.33,11.11,11.11,11.11,11.11,22.22,6.0,7.0,8.0,7.0,8.0,5.0,0,0
58,1,6,19.0,0,1.0,,23.0,28.0,4.0,2.0,1.0,1.0,MD,"20,878",1.0,"60,304.00",1.0,50.0,0.0,25.0,10.0,0.0,15.0,6.0,7.0,7.0,6.0,6.0,6.0,1,1
59,1,6,20.0,0,1.0,,23.0,24.0,4.0,2.0,1.0,1.0,MD,"20,878",1.0,"60,304.00",1.0,100.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,10.0,6.0,10.0,7.0,0,0
60,1,7,11.0,0,1.0,,22.0,27.0,4.0,2.0,2.0,4.0,Southern California,"91,360",1.0,"54,620.00",1.0,35.0,20.0,20.0,20.0,0.0,5.0,7.0,8.0,8.0,8.0,7.0,7.0,0,0
61,1,7,12.0,0,1.0,,22.0,22.0,4.0,2.0,2.0,4.0,Southern California,"91,360",1.0,"54,620.00",1.0,60.0,0.0,0.0,40.0,0.0,0.0,7.0,9.0,10.0,6.0,6.0,5.0,0,1
62,1,7,13.0,0,1.0,,22.0,22.0,4.0,4.0,2.0,4.0,Southern California,"91,360",1.0,"54,620.00",1.0,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1
63,1,7,14.0,0,1.0,,22.0,23.0,4.0,2.0,2.0,4.0,Southern California,"91,360",1.0,"54,620.00",1.0,30.0,5.0,15.0,40.0,5.0,5.0,8.0,8.0,9.0,8.0,9.0,9.0,1,1
64,1,7,15.0,0,1.0,,22.0,24.0,4.0,3.0,2.0,4.0,Southern California,"91,360",1.0,"54,620.00",1.0,30.0,10.0,20.0,10.0,10.0,20.0,8.0,7.0,9.0,6.0,9.0,5.0,0,1
65,1,7,16.0,0,1.0,,22.0,25.0,4.0,2.0,2.0,4.0,Southern California,"91,360",1.0,"54,620.00",1.0,50.0,0.0,30.0,10.0,0.0,10.0,8.0,8.0,8.0,6.0,6.0,6.0,0,1
66,1,7,17.0,0,1.0,,22.0,30.0,4.0,2.0,2.0,4.0,Southern California,"91,360",1.0,"54,620.00",1.0,35.0,15.0,25.0,10.0,5.0,10.0,7.0,6.0,5.0,4.0,4.0,3.0,0,0
67,1,7,18.0,0,1.0,,22.0,27.0,4.0,2.0,2.0,4.0,Southern California,"91,360",1.0,"54,620.00",1.0,33.33,11.11,11.11,11.11,11.11,22.22,8.0,7.0,6.0,7.0,7.0,5.0,0,1
68,1,7,19.0,0,1.0,,22.0,28.0,4.0,2.0,2.0,4.0,Southern California,"91,360",1.0,"54,620.00",1.0,50.0,0.0,25.0,10.0,0.0,15.0,9.0,7.0,9.0,9.0,9.0,10.0,1,1
69,1,7,20.0,0,1.0,,22.0,24.0,4.0,2.0,2.0,4.0,Southern California,"91,360",1.0,"54,620.00",1.0,100.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,8.0,6.0,8.0,7.0,0,0
70,1,8,11.0,0,13.0,,25.0,27.0,2.0,2.0,1.0,1.0,"London, England",0,1.0,,6.0,35.0,20.0,20.0,20.0,0.0,5.0,8.0,7.0,6.0,6.0,6.0,5.0,0,0
71,1,8,12.0,0,13.0,,25.0,22.0,2.0,2.0,1.0,1.0,"London, England",0,1.0,,6.0,60.0,0.0,0.0,40.0,0.0,0.0,8.0,8.0,10.0,7.0,6.0,5.0,1,1
72,1,8,13.0,0,13.0,,25.0,22.0,2.0,4.0,1.0,1.0,"London, England",0,1.0,,6.0,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1
73,1,8,14.0,0,13.0,,25.0,23.0,2.0,2.0,1.0,1.0,"London, England",0,1.0,,6.0,30.0,5.0,15.0,40.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,7.0,1,1
74,1,8,15.0,0,13.0,,25.0,24.0,2.0,3.0,1.0,1.0,"London, England",0,1.0,,6.0,30.0,10.0,20.0,10.0,10.0,20.0,9.0,9.0,8.0,9.0,,7.0,1,1
75,1,8,16.0,0,13.0,,25.0,25.0,2.0,2.0,1.0,1.0,"London, England",0,1.0,,6.0,50.0,0.0,30.0,10.0,0.0,10.0,8.0,7.0,7.0,7.0,8.0,7.0,1,1
76,1,8,17.0,0,13.0,,25.0,30.0,2.0,2.0,1.0,1.0,"London, England",0,1.0,,6.0,35.0,15.0,25.0,10.0,5.0,10.0,6.0,4.0,7.0,5.0,6.0,4.0,0,0
77,1,8,18.0,0,13.0,,25.0,27.0,2.0,2.0,1.0,1.0,"London, England",0,1.0,,6.0,33.33,11.11,11.11,11.11,11.11,22.22,9.0,8.0,8.0,8.0,7.0,5.0,1,1
78,1,8,19.0,0,13.0,,25.0,28.0,2.0,2.0,1.0,1.0,"London, England",0,1.0,,6.0,50.0,0.0,25.0,10.0,0.0,15.0,8.0,7.0,8.0,10.0,8.0,10.0,1,1
79,1,8,20.0,0,13.0,,25.0,24.0,2.0,2.0,1.0,1.0,"London, England",0,1.0,,6.0,100.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,9.0,9.0,8.0,8.0,1,1
80,1,9,11.0,0,13.0,,26.0,27.0,6.0,2.0,1.0,1.0,"Palm Springs, California",0,1.0,,9.0,35.0,20.0,20.0,20.0,0.0,5.0,6.0,8.0,7.0,8.0,7.0,5.0,0,0
81,1,9,12.0,0,13.0,,26.0,22.0,6.0,2.0,1.0,1.0,"Palm Springs, California",0,1.0,,9.0,60.0,0.0,0.0,40.0,0.0,0.0,8.0,8.0,10.0,7.0,6.0,5.0,1,1
82,1,9,13.0,0,13.0,,26.0,22.0,6.0,4.0,1.0,1.0,"Palm Springs, California",0,1.0,,9.0,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1
83,1,9,14.0,0,13.0,,26.0,23.0,6.0,2.0,1.0,1.0,"Palm Springs, California",0,1.0,,9.0,30.0,5.0,15.0,40.0,5.0,5.0,7.0,8.0,7.0,8.0,8.0,7.0,1,1
84,1,9,15.0,0,13.0,,26.0,24.0,6.0,3.0,1.0,1.0,"Palm Springs, California",0,1.0,,9.0,30.0,10.0,20.0,10.0,10.0,20.0,7.0,9.0,8.0,9.0,7.0,7.0,1,1
85,1,9,16.0,0,13.0,,26.0,25.0,6.0,2.0,1.0,1.0,"Palm Springs, California",0,1.0,,9.0,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,7.0,8.0,7.0,7.0,1,1
86,1,9,17.0,0,13.0,,26.0,30.0,6.0,2.0,1.0,1.0,"Palm Springs, California",0,1.0,,9.0,35.0,15.0,25.0,10.0,5.0,10.0,8.0,6.0,7.0,8.0,6.0,5.0,1,1
87,1,9,18.0,0,13.0,,26.0,27.0,6.0,2.0,1.0,1.0,"Palm Springs, California",0,1.0,,9.0,33.33,11.11,11.11,11.11,11.11,22.22,7.0,7.0,7.0,7.0,6.0,5.0,0,0
88,1,9,19.0,0,13.0,,26.0,28.0,6.0,2.0,1.0,1.0,"Palm Springs, California",0,1.0,,9.0,50.0,0.0,25.0,10.0,0.0,15.0,6.0,6.0,6.0,7.0,6.0,6.0,1,1
89,1,9,20.0,0,13.0,,26.0,24.0,6.0,2.0,1.0,1.0,"Palm Springs, California",0,1.0,,9.0,100.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,6.0,6.0,6.0,6.0,0,0
90,1,10,11.0,0,13.0,,26.0,27.0,2.0,2.0,4.0,4.0,94115,"19,335",2.0,"48,652.00",9.0,35.0,20.0,20.0,20.0,0.0,5.0,7.0,8.0,7.0,8.0,6.0,5.0,0,0
91,1,10,12.0,0,13.0,,26.0,22.0,2.0,2.0,4.0,4.0,94115,"19,335",2.0,"48,652.00",9.0,60.0,0.0,0.0,40.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0
92,1,10,13.0,0,13.0,,26.0,22.0,2.0,4.0,4.0,4.0,94115,"19,335",2.0,"48,652.00",9.0,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1
93,1,10,14.0,0,13.0,,26.0,23.0,2.0,2.0,4.0,4.0,94115,"19,335",2.0,"48,652.00",9.0,30.0,5.0,15.0,40.0,5.0,5.0,7.0,8.0,7.0,9.0,8.0,8.0,0,1
94,1,10,15.0,0,13.0,,26.0,24.0,2.0,3.0,4.0,4.0,94115,"19,335",2.0,"48,652.00",9.0,30.0,10.0,20.0,10.0,10.0,20.0,6.0,9.0,9.0,7.0,8.0,,0,1
95,1,10,16.0,0,13.0,,26.0,25.0,2.0,2.0,4.0,4.0,94115,"19,335",2.0,"48,652.00",9.0,50.0,0.0,30.0,10.0,0.0,10.0,,8.0,7.0,7.0,7.0,7.0,0,0
96,1,10,17.0,0,13.0,,26.0,30.0,2.0,2.0,4.0,4.0,94115,"19,335",2.0,"48,652.00",9.0,35.0,15.0,25.0,10.0,5.0,10.0,7.0,7.0,4.0,3.0,4.0,4.0,0,0
97,1,10,18.0,0,13.0,,26.0,27.0,2.0,2.0,4.0,4.0,94115,"19,335",2.0,"48,652.00",9.0,33.33,11.11,11.11,11.11,11.11,22.22,6.0,6.0,6.0,6.0,6.0,5.0,0,0
98,1,10,19.0,0,13.0,,26.0,28.0,2.0,2.0,4.0,4.0,94115,"19,335",2.0,"48,652.00",9.0,50.0,0.0,25.0,10.0,0.0,15.0,7.0,7.0,7.0,7.0,6.0,6.0,1,1
99,1,10,20.0,0,13.0,,26.0,24.0,2.0,2.0,4.0,4.0,94115,"19,335",2.0,"48,652.00",9.0,100.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0,0
100,1,11,1.0,1,8.0,,27.0,21.0,2.0,4.0,7.0,3.0,Argentina,0,1.0,,2.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,9.0,7.0,7.0,6.0,5.0,0,1
101,1,11,2.0,1,8.0,,27.0,24.0,2.0,2.0,7.0,3.0,Argentina,0,1.0,,2.0,45.0,5.0,25.0,20.0,0.0,5.0,5.0,7.0,8.0,4.0,6.0,3.0,0,0
102,1,11,3.0,1,8.0,,27.0,25.0,2.0,2.0,7.0,3.0,Argentina,0,1.0,,2.0,35.0,10.0,35.0,10.0,10.0,0.0,7.0,9.0,10.0,7.0,8.0,9.0,0,0
103,1,11,4.0,1,8.0,,27.0,23.0,2.0,2.0,7.0,3.0,Argentina,0,1.0,,2.0,20.0,20.0,20.0,20.0,10.0,10.0,4.0,10.0,8.0,5.0,8.0,7.0,0,0
104,1,11,5.0,1,8.0,,27.0,21.0,2.0,2.0,7.0,3.0,Argentina,0,1.0,,2.0,20.0,5.0,25.0,25.0,10.0,15.0,5.0,8.0,8.0,2.0,2.0,2.0,0,0
105,1,11,6.0,1,8.0,,27.0,23.0,2.0,4.0,7.0,3.0,Argentina,0,1.0,,2.0,10.0,25.0,20.0,25.0,5.0,15.0,6.0,9.0,7.0,6.0,7.0,6.0,0,1
106,1,11,7.0,1,8.0,,27.0,22.0,2.0,4.0,7.0,3.0,Argentina,0,1.0,,2.0,15.0,15.0,25.0,20.0,15.0,10.0,4.0,8.0,8.0,5.0,7.0,4.0,0,0
107,1,11,8.0,1,8.0,,27.0,25.0,2.0,2.0,7.0,3.0,Argentina,0,1.0,,2.0,9.09,18.18,27.27,18.18,18.18,9.09,5.0,8.0,7.0,4.0,7.0,5.0,0,1
108,1,11,9.0,1,8.0,,27.0,26.0,2.0,6.0,7.0,3.0,Argentina,0,1.0,,2.0,20.0,10.0,20.0,30.0,10.0,10.0,8.0,10.0,9.0,8.0,7.0,6.0,0,1
109,1,11,10.0,1,8.0,,27.0,26.0,2.0,2.0,7.0,3.0,Argentina,0,1.0,,2.0,15.0,15.0,15.0,40.0,10.0,5.0,6.0,10.0,10.0,6.0,6.0,,0,0
110,1,12,1.0,1,1.0,,22.0,21.0,2.0,4.0,1.0,1.0,England,"14,850",1.0,"29,237.00",1.0,15.0,20.0,20.0,15.0,15.0,15.0,7.0,8.0,7.0,8.0,5.0,6.0,0,1
111,1,12,2.0,1,1.0,,22.0,24.0,2.0,2.0,1.0,1.0,England,"14,850",1.0,"29,237.00",1.0,45.0,5.0,25.0,20.0,0.0,5.0,8.0,5.0,6.0,6.0,9.0,6.0,0,0
112,1,12,3.0,1,1.0,,22.0,25.0,2.0,2.0,1.0,1.0,England,"14,850",1.0,"29,237.00",1.0,35.0,10.0,35.0,10.0,10.0,0.0,9.0,7.0,9.0,8.0,9.0,7.0,0,0
113,1,12,4.0,1,1.0,,22.0,23.0,2.0,2.0,1.0,1.0,England,"14,850",1.0,"29,237.00",1.0,20.0,20.0,20.0,20.0,10.0,10.0,8.0,7.0,8.0,10.0,7.0,8.0,0,0
114,1,12,5.0,1,1.0,,22.0,21.0,2.0,2.0,1.0,1.0,England,"14,850",1.0,"29,237.00",1.0,20.0,5.0,25.0,25.0,10.0,15.0,8.0,6.0,6.0,5.0,5.0,5.0,0,0
115,1,12,6.0,1,1.0,,22.0,23.0,2.0,4.0,1.0,1.0,England,"14,850",1.0,"29,237.00",1.0,10.0,25.0,20.0,25.0,5.0,15.0,6.0,9.0,9.0,6.0,8.0,2.0,0,1
116,1,12,7.0,1,1.0,,22.0,22.0,2.0,4.0,1.0,1.0,England,"14,850",1.0,"29,237.00",1.0,15.0,15.0,25.0,20.0,15.0,10.0,6.0,6.0,8.0,4.0,9.0,4.0,0,0
117,1,12,8.0,1,1.0,,22.0,25.0,2.0,2.0,1.0,1.0,England,"14,850",1.0,"29,237.00",1.0,9.09,18.18,27.27,18.18,18.18,9.09,8.0,7.0,7.0,9.0,6.0,7.0,1,1
118,1,12,9.0,1,1.0,,22.0,26.0,2.0,6.0,1.0,1.0,England,"14,850",1.0,"29,237.00",1.0,20.0,10.0,20.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1
